Persistent EPS in the Last Four Seasons,Non-industry income and expenditure/revenue,Borrowing dependency,Total debt/Total net worth,Net Income to Total Assets,Current Liability to Assets,Net worth/Assets,Quick Ratio,ROA(C) before interest and depreciation before interest,ROA(B) before interest and depreciation after tax,Equity to Liability,Net Income to Stockholder's Equity,Revenue Per Share (Yuan ¥),Retained Earnings to Total Assets,Operating Profit Rate,Degree of Financial Leverage (DFL),ROA(A) before interest and % after tax,Debt ratio %,Accounts Receivable Turnover,Net Value Per Share (C),Bankrupt?
0.169140588,0.302646434,0.390284354,0.021265924,0.716845343,0.14730845,0.792423739,0.001207755,0.370594257,0.405749772,0.016468741,0.827890214,0.01755978,0.903224771,0.998969203,0.026600631,0.424389446,0.207576261,0.001813884,0.147949939,1
0.208943935,0.30355643,0.37676002,0.012502394,0.795297136,0.056962827,0.828823654,0.004039367,0.464290937,0.516730018,0.020794306,0.839969268,0.021144335,0.931065218,0.998945978,0.26457682,0.53821413,0.171176346,0.001286356,0.182251064,1
0.180580505,0.302035177,0.37909292,0.021247686,0.774669697,0.098162065,0.792484204,0.00534756,0.426071272,0.472295091,0.016474114,0.836774309,0.005944008,0.909903362,0.998857353,0.02655472,0.499018753,0.207515796,0.001495338,0.193712865,1
0.193722227,0.303349536,0.379742688,0.009572402,0.739554525,0.09871463,0.848535236,0.002896491,0.399844001,0.457733283,0.023982332,0.834697107,0.014368468,0.906902159,0.998699747,0.026696634,0.451264719,0.151464764,0.001966056,0.154186507,1
0.212536636,0.303474978,0.375025443,0.0051496,0.795015873,0.110194846,0.893490945,0.003727447,0.465022181,0.522297768,0.035490201,0.839972746,0.029689792,0.913850197,0.998973132,0.024751848,0.538432185,0.106509055,0.001448673,0.167502423,1
0.174435095,0.303115813,0.381448187,0.014213152,0.710420495,0.139002106,0.819572513,0.000854661,0.388680349,0.419133787,0.019534478,0.829938957,0.01810427,0.903041267,0.998758098,0.026675366,0.415176625,0.180427487,0.001527802,0.155577093,1
0.161482462,0.302814415,0.384998982,0.024441222,0.736619098,0.115920412,0.783898177,0.002869042,0.390922829,0.436158253,0.015663075,0.829979764,0.030914893,0.911441408,0.998993121,0.026622298,0.445704317,0.216101823,0.001661713,0.158821794,0
0.225205635,0.303544587,0.374219105,0.005278181,0.815350392,0.087041801,0.891797926,0.007304548,0.508360552,0.559077038,0.034888556,0.84145944,0.042560915,0.935449309,0.999008951,0.027030517,0.570922372,0.108202074,0.001335051,0.176983692,0
0.218398412,0.303583501,0.370253398,0.002266116,0.80364729,0.058059728,0.941409439,0.011823024,0.488519475,0.543283902,0.065826497,0.840486633,0.026604353,0.935200209,0.998960768,0.02689063,0.545137375,0.058590561,0.001302588,0.184189457,0
0.217831143,0.303482954,0.37450876,0.006354244,0.804194657,0.094563303,0.878707259,0.007516653,0.495685663,0.542962685,0.030800865,0.840688177,0.078663581,0.938289897,0.999000632,0.027243015,0.550915831,0.121292741,0.001468962,0.177447221,0
0.21896568,0.303758974,0.374179962,0.004932564,0.814110614,0.032086803,0.896423497,0.003449214,0.482474528,0.538197976,0.036571691,0.841337129,0.01553307,0.942828956,0.998978447,0.026971091,0.567542521,0.103576503,0.001939679,0.182925288,0
0.20468942,0.303604528,0.373113046,0.004292397,0.804886953,0.047994813,0.905614173,0.005122978,0.444401111,0.498956047,0.04038102,0.840649732,0.011419151,0.932955215,0.998975327,0.027390858,0.549716529,0.094385827,0.000807523,0.173865408,0
0.219343859,0.303434856,0.377306898,0.008734349,0.803260161,0.0956719,0.855337546,0.004029385,0.491151952,0.543390974,0.02528172,0.840702416,0.024638141,0.930139635,0.999044887,0.027479725,0.551569996,0.144662454,0.001134185,0.169398677,0
0.212914815,0.303491655,0.37315107,0.005155072,0.794157853,0.069166166,0.89343048,0.006446767,0.474040852,0.523689705,0.035464109,0.839910497,0.025711995,0.930763203,0.998967008,0.02499974,0.533307894,0.10656952,0.001237661,0.171547765,0
0.226434717,0.30356634,0.373692357,0.003983257,0.819715357,0.027638023,0.910360674,0.012023277,0.506703066,0.569837786,0.042646425,0.84162368,0.01858826,0.940251658,0.999052975,0.026896287,0.575828609,0.089639326,0.001002303,0.180565505,0
0.223787463,0.303461926,0.373544733,0.004611569,0.815418714,0.053385356,0.900928137,0.007063121,0.513820504,0.558755822,0.038353747,0.84139905,0.023821408,0.93354091,0.999096883,0.026897241,0.571085914,0.099071863,0.001148387,0.181787535,0
0.220194762,0.304319474,0.372267566,0.002397432,0.810421135,0.038761655,0.938718747,0.004346296,0.488909472,0.540285883,0.06294023,0.840888957,0.003478682,0.942018219,0.998996472,0.027002799,0.56023768,0.061281253,0.001308675,0.183852345,0
0.233052851,0.303558606,0.372724975,0.003323941,0.826642041,0.044637378,0.921274602,0.007383152,0.53595281,0.580919749,0.048821928,0.841983322,0.02575737,0.948858907,0.999118837,0.026907808,0.59043829,0.078725398,0.001233604,0.189541107,0
